Store,14/06/2021,14/06/2021,15/06/2021,16/06/2021,17/06/2021,18/06/2021,21/06/2021,22/06/2021,23/06/2021,24/06/2021,25/06/2021,28/06/2021,29/06/2021,30/06/2021,1/07/2021,2/07/2021,5/07/2021,6/07/2021,7/07/2021,8/07/2021,9/07/2021,19/06/2021,26/06/2021,3/07/2021,10/07/2021
Countdown Airport,5,5,6,10,11,7,7,8,5,8,3,6,10,5,6,7,8,6,8,9,7,5,5,6,3
Countdown Auckland City,6,6,8,5,8,8,8,8,13,11,8,6,8,9,10,6,11,7,7,9,5,2,4,3,5
Countdown Aviemore Drive,9,9,9,8,7,14,6,10,6,5,6,8,8,10,3,10,7,9,4,6,9,4,4,6,2
Countdown Birkenhead,9,9,4,8,10,7,5,6,12,10,11,7,5,10,10,7,9,9,5,4,12,5,2,6,4
Countdown Blockhouse Bay,6,6,8,7,6,6,9,4,8,10,9,6,7,9,9,7,8,8,4,10,3,2,2,3,2
Countdown Botany Downs,9,9,11,7,11,9,8,8,10,9,8,7,7,8,8,6,11,6,8,9,4,2,4,3,5
Countdown Browns Bay,14,14,11,6,8,14,6,5,10,9,6,10,3,5,7,12,9,5,7,7,9,2,4,6,5
Countdown Glenfield,8,8,4,8,3,4,10,6,7,8,7,6,8,10,5,5,9,9,11,7,6,6,3,6,3
Countdown Greenlane,10,10,10,13,7,9,5,12,8,9,11,8,12,6,5,10,8,6,10,3,5,4,4,2,4
Countdown Grey Lynn,11,11,9,9,7,5,7,7,10,4,12,8,9,13,11,8,11,6,11,3,11,2,3,2,5
Countdown Grey Lynn Central,8,8,11,3,6,12,6,5,13,10,9,5,11,6,11,6,10,7,11,9,7,6,6,6,4
Countdown Hauraki Corner,7,7,5,8,6,6,9,13,9,4,9,5,6,9,6,10,10,8,6,7,3,2,4,5,6
Countdown Henderson,11,11,9,5,6,10,8,5,8,4,8,12,8,6,8,8,5,6,8,11,12,5,3,6,3
Countdown Highland Park,5,5,8,9,8,7,10,5,7,7,12,10,6,7,12,8,4,12,4,7,5,2,4,3,2
Countdown Hobsonville,11,11,8,8,4,10,9,9,7,9,7,9,11,8,12,8,8,11,8,10,5,6,6,6,6
Countdown Howick,9,9,10,8,11,13,9,15,12,8,6,6,8,5,8,10,9,6,9,8,9,3,4,5,4
Countdown Kelston,7,7,9,11,8,10,5,13,6,12,9,5,7,6,7,6,7,9,7,15,4,4,5,5,2
Countdown Lincoln Road,9,9,9,10,7,4,6,11,6,9,10,5,9,9,7,12,9,9,7,6,14,4,4,6,4
Countdown Lynfield,12,12,11,7,9,6,11,6,4,9,8,7,6,12,7,9,6,10,8,7,8,6,4,2,2
Countdown Lynmall,7,7,7,7,5,5,6,8,5,9,9,7,9,8,4,8,6,7,7,6,9,4,5,5,2
Countdown Mairangi Bay,7,7,7,4,11,8,7,9,9,15,10,9,7,8,10,9,9,7,9,9,10,2,5,4,3
Countdown Mangere East,9,9,9,7,9,6,6,6,9,10,8,12,6,7,7,10,9,5,6,10,8,4,3,4,3
Countdown Mangere Mall,9,9,4,4,7,13,9,7,10,9,5,3,4,9,7,7,7,7,9,7,6,2,3,4,6
Countdown Manukau,8,8,9,5,8,5,5,9,9,3,10,7,8,10,10,8,5,11,8,5,8,6,6,6,6
Countdown Manukau Mall,8,8,10,8,4,8,8,11,10,8,8,11,12,12,6,9,5,7,6,6,10,5,2,3,5
Countdown Manurewa,6,6,8,7,8,11,8,5,7,11,12,8,9,5,8,8,9,8,10,7,6,4,2,6,2
Countdown Meadowbank,11,11,4,8,12,7,7,7,8,7,9,11,5,6,8,10,11,6,10,4,9,3,5,4,5
Countdown Meadowlands,6,6,9,12,6,11,10,10,9,8,6,8,10,5,11,7,9,8,5,5,8,3,3,2,4
Countdown Metro Albert Street,6,6,5,7,5,2,5,5,3,3,3,3,6,6,4,3,4,2,3,5,5,0,0,0,0
Countdown Metro Halsey Street,3,3,4,2,4,3,7,5,3,9,4,4,3,3,2,3,2,3,4,4,5,0,0,0,0
Countdown Milford,9,9,5,12,6,9,5,9,10,6,6,11,4,10,5,11,7,12,11,10,7,2,3,3,6
Countdown Mt Eden,9,9,6,10,5,6,10,11,10,4,11,3,6,10,8,13,5,5,5,8,8,5,3,6,5
Countdown Mt Roskill,6,6,9,6,7,10,11,8,5,8,6,8,7,5,7,8,10,9,11,9,10,4,5,2,6
Countdown Mt Wellington,9,9,6,8,3,8,13,12,7,12,6,8,7,7,8,9,12,9,12,6,9,6,3,4,2
Countdown Newmarket,7,7,6,11,6,9,5,11,11,3,12,4,5,6,11,8,6,6,8,11,4,2,4,4,3
Countdown Northcote,7,7,6,6,6,10,9,6,6,11,9,6,5,6,6,9,7,9,7,8,10,3,6,3,6
Countdown Northwest,11,11,10,9,5,9,8,9,7,6,8,5,5,10,11,9,6,8,5,11,6,2,6,2,3
Countdown Onehunga,7,7,7,7,11,6,4,7,8,10,9,4,6,7,8,11,12,8,6,9,7,6,3,2,4
Countdown Pakuranga,11,11,8,5,6,7,8,5,8,7,10,6,10,8,10,4,10,8,8,4,8,2,4,3,4
Countdown Papakura,7,7,5,4,7,5,8,6,6,5,5,5,8,7,7,7,11,8,13,10,10,3,3,6,6
Countdown Papatoetoe,9,9,10,8,5,8,9,11,8,12,7,7,13,8,10,7,6,11,7,12,7,3,2,4,2
Countdown Ponsonby,6,6,10,7,11,12,8,3,11,11,9,11,9,9,5,10,13,5,6,6,11,3,4,4,2
Countdown Pt Chevalier,7,7,8,9,14,7,8,11,11,8,10,6,6,5,10,6,8,5,8,8,9,3,5,5,5
Countdown Roselands,8,8,11,7,9,8,4,8,7,13,6,8,9,12,8,8,7,10,11,7,10,6,5,3,5
Countdown St Johns,9,9,7,7,10,6,10,7,7,7,8,10,5,5,8,8,5,7,4,10,4,5,2,3,4
Countdown St Lukes,10,10,6,6,12,4,5,7,6,5,8,5,6,13,5,9,7,10,5,6,6,2,4,2,4
Countdown Sunnynook,9,9,7,8,8,7,8,9,9,12,10,10,10,10,5,10,6,11,6,6,9,2,2,5,4
Countdown Sylvia Park,7,7,7,8,8,9,10,8,5,15,3,11,5,5,10,10,7,6,12,7,11,2,2,5,5
Countdown Takanini,6,6,10,10,3,15,8,10,8,9,8,8,9,10,6,10,5,6,5,9,5,5,5,5,3
Countdown Takapuna,5,5,7,4,7,8,8,7,5,6,8,8,5,9,8,10,10,6,13,8,12,2,2,4,2
Countdown Te Atatu,9,9,10,6,11,4,12,4,6,6,8,6,9,6,6,8,8,8,5,8,12,2,2,5,6
Countdown Te Atatu South,8,8,7,11,7,12,9,9,7,8,6,6,8,9,5,4,9,10,5,8,10,5,4,2,3
Countdown Three Kings,10,10,12,11,9,11,9,11,8,7,7,13,14,7,7,8,6,6,7,10,8,2,4,4,6
Countdown Victoria Street West,15,15,7,8,13,12,4,10,9,8,10,14,9,10,6,10,8,8,8,8,11,5,5,2,4
Countdown Westgate,7,7,6,6,9,5,6,10,13,7,7,5,13,10,8,8,11,8,9,8,7,5,6,5,6
FreshChoice Glen Eden,5,5,6,3,2,4,5,4,3,5,2,5,4,3,3,4,3,5,8,5,3,0,0,0,0
FreshChoice Half Moon Bay,3,3,5,6,2,4,3,8,5,4,4,4,3,4,6,5,6,5,4,8,3,0,0,0,0
FreshChoice Mangere Bridge,7,7,5,3,2,5,4,6,4,6,5,8,3,6,2,6,5,3,7,2,3,0,0,0,0
FreshChoice Otahuhu,4,4,2,5,5,5,4,2,4,3,3,4,2,5,2,5,5,4,3,5,3,0,0,0,0
FreshChoice Ranui,3,3,5,3,7,5,4,4,6,5,5,3,4,5,5,2,4,7,6,8,4,0,0,0,0
SuperValue Avondale,3,3,2,6,6,4,3,8,5,3,3,4,5,2,5,5,5,5,5,5,5,0,0,0,0
SuperValue Flatbush,6,6,7,4,3,5,4,6,4,3,7,7,5,3,5,3,5,4,5,4,3,0,0,0,0
SuperValue Palomino,4,4,2,2,6,3,7,6,6,5,4,6,4,3,5,5,5,5,5,7,7,0,0,0,0
SuperValue Papakura,4,4,6,4,5,5,7,4,3,6,3,3,4,6,2,6,6,6,6,3,6,0,0,0,0
SuperValue Titirangi,3,3,3,4,3,4,7,4,2,5,6,2,6,6,3,3,3,4,7,7,5,0,0,0,0
